RIB,Amount,Expiration_date,Verification_code,Card_type,Account_type,Id_client
0715340542,7522.17 dhs,7/2030,748,Visa,CourantEpargne,249477
4964907391,1999.43 dhs,3/2028,940,American Express,CourantEpargne,635148
3989496659,4350.2 dhs,9/2030,602,Mastercard,Epargne,207581
6732282880,2246.67 dhs,6/2029,589,Mastercard,Courant,703555
8271003866,1717.86 dhs,5/2027,453,American Express,Epargne,469265
9008686836,4686.79 dhs,11/2025,597,American Express,Courant,111986
3861286501,4261.04 dhs,1/2025,646,American Express,Courant,280203
5536643622,36.6 dhs,9/2028,353,Mastercard,CourantEpargne,18161
6290879142,3964.48 dhs,12/2028,488,Visa,CourantEpargne,116873
4485855776,3741.85 dhs,6/2023,040,American Express,CourantEpargne,241673
0436228291,914.9 dhs,2/2025,591,American Express,Courant,272176
0851147644,113.1 dhs,2/2029,926,American Express,Courant,230918
7811575049,1902.99 dhs,8/2025,712,Mastercard,CourantEpargne,253662
2974269984,735.66 dhs,9/2025,534,Visa,Courant,396816
2420654358,9589.05 dhs,9/2026,497,Visa,Epargne,815708
2303449264,6768.77 dhs,10/2023,834,Visa,Courant,527161
3759881534,6257.91 dhs,3/2025,263,Mastercard,CourantEpargne,901979
3819469091,308.69 dhs,6/2030,297,American Express,Epargne,25389
2597228510,3239.22 dhs,7/2026,453,American Express,Courant,133931
4256208229,536.45 dhs,6/2023,832,Mastercard,Epargne,535466
2132339396,6643.46 dhs,5/2030,216,Visa,CourantEpargne,785262
2858187275,7000.15 dhs,11/2023,182,Visa,Epargne,787201
2275786099,5090.87 dhs,7/2026,502,Visa,Epargne,757705
9695376948,7529.65 dhs,6/2029,930,Visa,Epargne,595343
5323243285,4628.64 dhs,7/2025,577,American Express,CourantEpargne,193826
0028342235,3746.76 dhs,12/2025,436,Visa,CourantEpargne,713190
3403634118,6429.58 dhs,5/2029,001,Mastercard,CourantEpargne,903100
6235796635,2994.83 dhs,2/2030,576,American Express,Courant,139068
3980496490,7628.81 dhs,7/2028,413,Visa,Courant,395383
7346805363,8898.47 dhs,6/2024,068,Visa,Courant,475858
5696359633,9877.05 dhs,10/2025,242,Mastercard,Epargne,490387
9883954660,8841.73 dhs,11/2026,573,Mastercard,CourantEpargne,803900
6491541044,6680.64 dhs,6/2030,567,Mastercard,CourantEpargne,840867
3542691314,5084.64 dhs,5/2024,311,Mastercard,CourantEpargne,346492
4936550546,3137.08 dhs,12/2029,373,American Express,Courant,464009
5906029250,8743.66 dhs,12/2030,844,American Express,CourantEpargne,955002
7537368852,6703.26 dhs,5/2027,596,American Express,CourantEpargne,67366
8680035973,4707.1 dhs,7/2027,523,Mastercard,CourantEpargne,310880
6471142477,9565.03 dhs,4/2028,526,Visa,Courant,209532
2579178504,3181.72 dhs,9/2030,381,American Express,Courant,798527
5922422808,8993.15 dhs,2/2030,034,Visa,CourantEpargne,5637
2565671099,5989.38 dhs,5/2026,242,American Express,Epargne,101744
8172911356,2438.75 dhs,12/2030,154,Visa,CourantEpargne,889326
4429120909,5767.77 dhs,12/2025,397,Visa,Courant,352566
2059235750,7288.97 dhs,9/2029,444,Visa,Courant,193429
3315689959,3855.93 dhs,6/2027,613,Visa,Courant,672482
6387668983,7812.09 dhs,2/2025,601,Mastercard,Courant,461806
2812790463,5779.55 dhs,11/2029,649,American Express,CourantEpargne,763779
0592622853,5967.3 dhs,2/2027,703,American Express,CourantEpargne,249812
2464779798,5894.16 dhs,1/2029,762,American Express,CourantEpargne,476225
0934792529,4089.65 dhs,4/2023,263,Mastercard,Epargne,968892
8781355852,9081.25 dhs,6/2027,610,Visa,Epargne,713028
2441538240,8510.88 dhs,8/2029,637,Visa,Courant,11777
6077416854,5932.11 dhs,8/2029,515,Visa,CourantEpargne,889326
5445854846,4090.77 dhs,6/2026,285,American Express,Courant,220861
7403757604,7555.17 dhs,1/2023,179,American Express,Courant,123121
6994867207,6374.28 dhs,10/2027,526,Visa,Courant,195701
6781051423,2744.25 dhs,4/2024,400,American Express,Epargne,459531
5849074794,5720.0 dhs,7/2027,800,American Express,Courant,844257
7674747565,1576.42 dhs,9/2030,868,American Express,CourantEpargne,480253
4987723088,4442.03 dhs,7/2025,626,American Express,Epargne,157356
5426123505,1880.99 dhs,7/2023,914,Visa,Courant,7030
6295418837,7001.41 dhs,8/2028,320,Mastercard,Courant,162361
9126261501,9576.03 dhs,3/2026,481,Mastercard,Courant,851846
2281746585,637.12 dhs,10/2030,546,Mastercard,CourantEpargne,472636
7551216009,762.41 dhs,5/2030,356,Visa,CourantEpargne,9428
3516233626,9098.61 dhs,7/2023,736,Mastercard,Courant,237795
4541352834,2840.55 dhs,12/2025,080,Visa,Epargne,510719
0029008737,6018.05 dhs,4/2025,934,American Express,Courant,239525
4429638343,7491.66 dhs,1/2026,298,American Express,Epargne,619565
0677203258,9621.45 dhs,7/2026,975,Visa,Courant,226590
3721850184,627.9 dhs,2/2025,083,American Express,Epargne,673806
7844289774,9891.66 dhs,12/2024,867,Mastercard,Epargne,626744
8892103127,9227.48 dhs,1/2026,741,Mastercard,Epargne,75870
9135664044,3320.67 dhs,5/2027,266,American Express,Courant,281008
7212927187,5061.62 dhs,2/2024,660,Visa,CourantEpargne,91383
1066842967,99.92 dhs,6/2028,012,American Express,Courant,570744
5565402539,8742.37 dhs,2/2028,489,Mastercard,Epargne,863186
9416767372,6612.33 dhs,11/2028,568,Mastercard,Courant,90382
8814445776,4128.6 dhs,7/2030,599,Visa,Epargne,644211
7983525106,2507.38 dhs,6/2024,831,Mastercard,Courant,193676
0146828342,7495.15 dhs,4/2026,597,Mastercard,CourantEpargne,584823
7994973104,3796.61 dhs,3/2023,247,Mastercard,Courant,913541
3179552367,6157.64 dhs,1/2023,593,Visa,Courant,351937
3914522728,626.27 dhs,6/2026,181,American Express,Courant,844590
1910180012,627.9 dhs,11/2024,796,Visa,CourantEpargne,901313
7218120033,1251.62 dhs,9/2028,759,Visa,Epargne,794715
7822611172,5436.47 dhs,9/2027,490,Mastercard,Epargne,125805
8787004057,8361.16 dhs,3/2029,012,American Express,Courant,827013
7523837571,5780.57 dhs,10/2029,029,American Express,CourantEpargne,938942
2399467459,1059.28 dhs,4/2029,096,Mastercard,CourantEpargne,104152
0296421436,2367.48 dhs,5/2025,106,Mastercard,CourantEpargne,72076
3507427125,5792.29 dhs,8/2023,827,Visa,Courant,977842
9774950605,5214.72 dhs,4/2025,651,Mastercard,Epargne,750248
1214668337,4665.86 dhs,12/2026,420,Mastercard,CourantEpargne,155995
7682089801,5666.52 dhs,10/2028,377,Mastercard,CourantEpargne,503151
6989475717,1408.12 dhs,3/2023,515,American Express,CourantEpargne,630061
1809174073,2199.99 dhs,8/2023,627,American Express,Epargne,540518
9267679639,6798.23 dhs,10/2025,039,Visa,CourantEpargne,899032
1611947531,798.39 dhs,11/2026,078,Mastercard,Courant,576876
6574385933,8821.76 dhs,4/2023,436,Mastercard,Courant,540888
3563403009,1374.44 dhs,6/2024,725,Visa,Epargne,504921
2162278938,6894.93 dhs,4/2029,082,Visa,CourantEpargne,597522
2799669660,1755.26 dhs,9/2024,303,Visa,Courant,300372
2322169992,6538.64 dhs,7/2024,493,Mastercard,Courant,204281
3478527919,5661.54 dhs,9/2029,469,Mastercard,Courant,515297
8604755740,9187.65 dhs,7/2027,184,Mastercard,CourantEpargne,556281
5924931194,2356.63 dhs,9/2028,392,Mastercard,Courant,453047
5120355590,5658.6 dhs,11/2026,466,Mastercard,CourantEpargne,517518
2389408048,2398.36 dhs,3/2024,149,Visa,Courant,553740
0968410973,5518.84 dhs,12/2028,283,Mastercard,Courant,436004
1240220168,8149.17 dhs,8/2027,613,Mastercard,Epargne,692974
1154033336,778.77 dhs,7/2027,716,Mastercard,CourantEpargne,39712
6516681258,4974.1 dhs,4/2028,252,American Express,CourantEpargne,237299
6434689150,8046.36 dhs,12/2023,051,Visa,Courant,787263
6304969619,220.77 dhs,1/2025,074,Mastercard,Courant,125636
8937164089,4810.91 dhs,4/2024,724,Mastercard,Epargne,776096
2418077178,2011.41 dhs,2/2023,137,Visa,Courant,629279
0097436664,7594.76 dhs,12/2025,167,Mastercard,CourantEpargne,376583
1525356063,2966.41 dhs,10/2023,948,Visa,CourantEpargne,280872
0034793034,9279.68 dhs,12/2026,778,Visa,Courant,532938
9279432260,323.52 dhs,1/2030,152,Visa,CourantEpargne,681859
8449727700,652.08 dhs,7/2024,950,Mastercard,CourantEpargne,954952
3746560712,7274.37 dhs,6/2025,291,American Express,CourantEpargne,218538
4147058079,2346.73 dhs,7/2027,554,Mastercard,Epargne,420577
2920001838,8183.81 dhs,4/2030,631,Mastercard,Epargne,73532
9486631544,7393.25 dhs,11/2027,589,Mastercard,CourantEpargne,534643
3867230505,7541.36 dhs,9/2030,176,American Express,Courant,290033
6166815680,66.76 dhs,4/2024,524,Mastercard,Epargne,133512
6000620502,8650.07 dhs,2/2028,943,Mastercard,Epargne,863186
7314024165,3813.43 dhs,2/2026,345,Mastercard,CourantEpargne,276931
0721230935,7262.93 dhs,3/2030,560,Visa,Epargne,748500
9818403068,1245.23 dhs,7/2026,978,Mastercard,Epargne,277580
8082172944,9943.94 dhs,12/2024,990,Visa,CourantEpargne,726874
7081400319,7870.7 dhs,7/2024,865,Visa,CourantEpargne,547376
3098297529,7924.84 dhs,1/2028,872,Mastercard,Epargne,127541
6726430371,2231.38 dhs,8/2025,643,American Express,CourantEpargne,500752
1718746614,9269.49 dhs,10/2030,875,Visa,CourantEpargne,259386
1568322897,6819.93 dhs,12/2027,707,American Express,Courant,43737
6021341064,2435.68 dhs,4/2025,899,American Express,Epargne,244649
0717573264,4840.6 dhs,1/2023,243,Visa,CourantEpargne,793475
3589596626,1516.23 dhs,7/2029,120,Visa,Courant,780
6505542317,4338.66 dhs,11/2025,488,Mastercard,CourantEpargne,704593
1120882070,444.4 dhs,10/2025,534,Mastercard,Courant,492031
2295499630,137.04 dhs,6/2025,003,Mastercard,CourantEpargne,175755
0760547942,2947.2 dhs,8/2026,831,American Express,Courant,892212
1562066405,7258.2 dhs,3/2028,647,Visa,Epargne,373154
1903108316,4145.87 dhs,7/2023,735,Mastercard,Courant,322175
8944157836,1147.61 dhs,12/2030,248,Mastercard,Courant,177876
4755567144,3435.19 dhs,3/2025,971,Mastercard,CourantEpargne,949570
6678409715,5411.07 dhs,11/2024,284,Visa,CourantEpargne,58102
2252029268,2362.08 dhs,2/2026,623,American Express,Epargne,118776
8626785141,3250.87 dhs,10/2029,763,Mastercard,Epargne,181256
4012869945,5635.56 dhs,7/2030,479,American Express,CourantEpargne,132098
4076223445,8576.12 dhs,10/2030,270,American Express,Epargne,971866
4838328664,3110.71 dhs,5/2026,751,Mastercard,CourantEpargne,583459
8606594264,673.23 dhs,5/2029,241,Mastercard,CourantEpargne,483716
9087787899,7158.04 dhs,5/2027,648,Mastercard,Courant,391005
3809269668,699.32 dhs,6/2029,487,American Express,Epargne,273317
6742283758,2628.41 dhs,10/2024,714,American Express,Courant,568502
9025877244,3934.27 dhs,12/2029,443,American Express,CourantEpargne,976206
9465477578,2048.27 dhs,12/2027,064,Mastercard,Courant,525630
6587853946,2688.33 dhs,5/2025,745,Visa,Courant,346258
7631298114,9056.58 dhs,9/2025,778,Mastercard,Courant,112777
5423952783,7437.27 dhs,12/2026,195,Mastercard,Epargne,286995
0841221930,746.27 dhs,1/2027,475,American Express,CourantEpargne,258771
4806105395,2836.07 dhs,6/2030,933,American Express,CourantEpargne,971392
9099956776,9334.23 dhs,8/2026,714,Visa,CourantEpargne,830832
6868491281,1998.06 dhs,3/2026,861,Mastercard,Epargne,208770
3914932878,3237.53 dhs,5/2028,903,Mastercard,CourantEpargne,11765
1410526686,5306.89 dhs,3/2030,439,Visa,CourantEpargne,342241
6370522053,2742.4 dhs,8/2025,390,American Express,CourantEpargne,967143
9404904040,7745.16 dhs,3/2025,596,Mastercard,Epargne,366074
7475324425,7718.75 dhs,10/2027,614,Visa,Epargne,755414
6861726484,2700.9 dhs,12/2028,112,Mastercard,Epargne,964493
4698198784,4172.99 dhs,2/2030,944,Mastercard,Courant,398961
2826699966,2673.86 dhs,8/2030,869,Mastercard,CourantEpargne,856200
1958986461,2269.95 dhs,6/2027,620,American Express,Courant,798834
3800305656,1300.09 dhs,2/2029,692,American Express,Epargne,371808
8172755563,3989.7 dhs,1/2030,057,Visa,Courant,824316
4730125709,7945.22 dhs,5/2029,337,American Express,CourantEpargne,253488
2821234382,218.86 dhs,9/2023,322,Mastercard,Courant,112081
4374265415,4598.33 dhs,7/2028,998,American Express,CourantEpargne,70306
7523561974,1134.39 dhs,5/2024,013,Mastercard,CourantEpargne,997411
0612002635,3509.56 dhs,11/2026,254,Mastercard,Courant,285497
5854177221,1288.63 dhs,11/2023,595,Mastercard,CourantEpargne,786130
7189731564,9967.16 dhs,12/2027,615,Mastercard,Courant,783812
2637944329,1833.27 dhs,2/2023,717,American Express,Epargne,335699
1789375156,8758.04 dhs,1/2027,228,Visa,Epargne,898440
8646493319,4569.67 dhs,7/2024,424,Visa,CourantEpargne,972106
1841071538,3363.65 dhs,4/2024,047,American Express,CourantEpargne,652300
6000208442,829.77 dhs,10/2026,963,American Express,CourantEpargne,252959
3927127731,2278.88 dhs,9/2024,921,Mastercard,Courant,390563
1004214706,2175.14 dhs,5/2023,100,Mastercard,Courant,596447
9599912870,5384.46 dhs,12/2029,682,American Express,Courant,569821
0617854485,9571.45 dhs,5/2027,760,Mastercard,Epargne,722679
8453236675,582.43 dhs,7/2024,040,Mastercard,Courant,144983
0152308530,7357.77 dhs,5/2026,116,Mastercard,Epargne,330390
1738531709,9745.8 dhs,4/2029,692,Visa,CourantEpargne,942630
0010512832,578.59 dhs,6/2025,856,Mastercard,Courant,209484
4591299563,6001.33 dhs,3/2028,515,Visa,CourantEpargne,702661
3633476058,6640.25 dhs,6/2024,834,Visa,CourantEpargne,456654
5543956653,3580.12 dhs,6/2029,182,American Express,CourantEpargne,794896
7690324075,2891.85 dhs,2/2023,528,American Express,Courant,327849
8384544265,2061.88 dhs,7/2029,709,American Express,Courant,280832
6782032660,3471.88 dhs,11/2026,191,American Express,Courant,357392
1146169106,6692.64 dhs,2/2028,258,Visa,Courant,330950
0454249762,3464.19 dhs,7/2027,944,Visa,CourantEpargne,145153
3904323291,3667.52 dhs,6/2029,273,American Express,CourantEpargne,980660
6432960844,6844.23 dhs,11/2024,589,Mastercard,Epargne,815751
1144837376,5335.22 dhs,6/2026,733,American Express,Courant,650144
3642947017,9042.15 dhs,2/2023,788,American Express,CourantEpargne,229766
4219377981,25.18 dhs,7/2023,257,Mastercard,Epargne,697084
3998454369,2522.5 dhs,3/2030,465,Visa,Epargne,41731
3919983665,403.36 dhs,6/2026,474,American Express,Courant,343154
7962083204,4809.67 dhs,12/2027,752,Mastercard,CourantEpargne,94230
2808242453,5706.97 dhs,4/2024,274,American Express,Courant,149980
8768609371,1608.34 dhs,11/2023,226,Mastercard,Courant,999387
5380329836,1793.79 dhs,10/2027,767,Mastercard,CourantEpargne,555061
1821128612,3888.58 dhs,3/2030,016,Visa,Epargne,881589
0814920935,9748.4 dhs,10/2025,268,American Express,Epargne,467162
8067091628,3557.94 dhs,8/2028,802,Mastercard,Courant,535466
0808567342,6852.91 dhs,5/2025,798,Mastercard,Courant,410097
2724086836,7040.41 dhs,10/2028,544,Visa,Epargne,564713
1351007849,3399.24 dhs,11/2026,049,Visa,Epargne,791211
5295729352,3497.23 dhs,5/2030,426,Visa,Epargne,845911
3331404793,8572.99 dhs,2/2030,312,American Express,Courant,123836
6943296539,4115.85 dhs,4/2024,402,Visa,Epargne,591118
3549055622,4563.61 dhs,10/2028,526,American Express,Courant,592643
3355468687,6825.24 dhs,9/2027,050,American Express,Courant,295966
5256362573,5516.49 dhs,2/2027,770,American Express,Epargne,389070
7934578727,2876.11 dhs,8/2025,614,Visa,Epargne,126298
7979653650,7773.4 dhs,3/2030,581,Mastercard,Courant,966305
8155681901,7923.91 dhs,3/2030,284,American Express,Epargne,303059
7599428402,6285.42 dhs,2/2030,443,Visa,CourantEpargne,893907
8304612514,9100.98 dhs,3/2024,233,American Express,Courant,869104
5667750475,6717.61 dhs,8/2026,472,Mastercard,CourantEpargne,612201
7644828855,3972.31 dhs,11/2029,371,Visa,Courant,808788
6250733280,5786.69 dhs,7/2028,839,Mastercard,Epargne,847865
3926441307,1740.36 dhs,3/2023,025,Mastercard,Courant,970290
3005450747,5750.53 dhs,8/2024,565,American Express,Epargne,438934
6877940894,8255.78 dhs,4/2026,456,American Express,Courant,280203
5082928167,5363.26 dhs,8/2024,187,Visa,CourantEpargne,988411
9350737167,1946.57 dhs,11/2027,124,Mastercard,Epargne,501512
9521518469,8719.49 dhs,11/2030,783,American Express,CourantEpargne,892432
8247770346,3313.57 dhs,11/2029,411,Visa,Courant,450978
2933872758,2236.96 dhs,9/2028,589,Visa,CourantEpargne,896049
6577296181,9252.43 dhs,3/2026,395,American Express,Courant,527449
8307023461,8857.68 dhs,4/2030,893,American Express,Courant,195230
4535078641,2233.9 dhs,5/2026,608,Mastercard,CourantEpargne,231826
1251808603,2115.68 dhs,6/2025,607,Mastercard,CourantEpargne,395636
9469780422,6311.26 dhs,1/2026,289,American Express,Epargne,143058
1878397505,1975.56 dhs,9/2026,060,Mastercard,CourantEpargne,809175
6740600687,8840.24 dhs,10/2025,379,Mastercard,CourantEpargne,749684
6454813622,156.86 dhs,1/2028,174,American Express,CourantEpargne,34195
0296262395,5067.82 dhs,8/2024,675,Mastercard,Epargne,81532
8511426123,3919.47 dhs,9/2024,572,Mastercard,Epargne,391424
7062270829,3876.18 dhs,2/2025,426,Visa,Epargne,336654
6192385671,6780.5 dhs,8/2023,108,Visa,Courant,309588
0778969048,6203.17 dhs,10/2025,239,Mastercard,Epargne,108753
7009305797,2845.81 dhs,12/2023,780,Mastercard,Epargne,468854
1005410560,1033.13 dhs,9/2027,383,Visa,CourantEpargne,988259
1894517691,3199.12 dhs,10/2027,441,American Express,Courant,396927
9885309875,6048.03 dhs,6/2024,893,Mastercard,CourantEpargne,681987
9242213903,95.83 dhs,2/2023,690,Visa,Courant,453353
8398134428,5639.81 dhs,1/2028,552,Visa,Epargne,802418
1158969755,2707.43 dhs,8/2030,320,Mastercard,CourantEpargne,240990
7406115264,3031.44 dhs,9/2024,141,American Express,Epargne,596636
1937862094,9881.77 dhs,11/2023,244,Mastercard,Epargne,851740
8912980575,4143.13 dhs,1/2025,191,Visa,Epargne,208511
0683915428,8521.44 dhs,8/2027,808,American Express,Epargne,341982
2026343179,3157.91 dhs,3/2030,699,American Express,CourantEpargne,316885
5209836467,7235.3 dhs,4/2025,308,Visa,Epargne,612100
5731630041,7669.9 dhs,11/2029,301,Mastercard,Epargne,17913
5569399914,7695.91 dhs,5/2025,799,Visa,CourantEpargne,12806
0105122249,5885.28 dhs,8/2026,763,Mastercard,Courant,363667
2881932740,7607.64 dhs,6/2026,086,American Express,Epargne,50132
2544393156,7679.84 dhs,5/2024,423,American Express,CourantEpargne,156209
9595267374,7478.6 dhs,9/2025,225,Visa,Courant,672581
2804232103,8175.94 dhs,2/2029,750,American Express,Epargne,544050
9317772663,9922.86 dhs,4/2025,684,Visa,CourantEpargne,501680
1119906996,4910.82 dhs,11/2029,550,Visa,Epargne,141714
9271394948,6698.02 dhs,9/2027,722,Mastercard,CourantEpargne,864587
0666479759,8980.62 dhs,10/2024,907,Visa,Courant,761847
2907827918,4752.32 dhs,10/2023,214,American Express,CourantEpargne,776058
4599856424,3393.0 dhs,8/2026,416,Visa,CourantEpargne,748054
1221302305,6511.41 dhs,5/2023,358,American Express,Epargne,647222
4734075624,1472.25 dhs,12/2025,527,Mastercard,Courant,155995
3394449610,7767.19 dhs,3/2027,825,Mastercard,CourantEpargne,848401
2614543137,2443.94 dhs,10/2028,188,Visa,Courant,932835
8809411131,165.86 dhs,10/2030,728,Mastercard,CourantEpargne,226725
8272221186,2112.73 dhs,9/2028,961,Mastercard,Courant,304134
4858399439,8991.99 dhs,6/2026,119,Mastercard,Courant,426263
2694856880,2677.05 dhs,6/2026,074,American Express,Epargne,907806
1652777659,8506.38 dhs,4/2030,114,American Express,Epargne,106160
7547636951,8434.38 dhs,12/2026,225,Visa,Epargne,938822
0164917465,6524.98 dhs,3/2027,027,Visa,CourantEpargne,676266
6668390656,813.95 dhs,1/2028,631,Mastercard,Courant,115913
9917705437,5113.01 dhs,12/2025,513,Mastercard,Courant,845911
0876172526,5703.12 dhs,5/2030,888,Mastercard,Courant,624810
3758310434,5606.74 dhs,11/2028,283,Visa,Epargne,780806
5158030929,8867.57 dhs,10/2024,340,Visa,Epargne,5622
8785250454,1228.73 dhs,12/2024,774,Mastercard,Epargne,469265
4059075610,9829.39 dhs,5/2024,549,Mastercard,Epargne,684610
1907468746,487.28 dhs,7/2028,079,Mastercard,Courant,135698
2924774045,7548.32 dhs,5/2026,156,Mastercard,Epargne,589339
8664672230,8595.78 dhs,11/2028,259,Mastercard,CourantEpargne,73532
9494371191,1359.12 dhs,5/2023,614,Visa,Courant,794121
0513696066,4246.91 dhs,5/2025,429,American Express,CourantEpargne,810393
8414654134,1723.3 dhs,3/2026,929,American Express,Courant,142727
6212697995,9834.59 dhs,11/2030,635,Mastercard,Courant,519527
7563123172,8369.35 dhs,3/2028,906,American Express,CourantEpargne,767661
9202889953,2184.13 dhs,4/2027,012,Visa,Epargne,444151
6755306733,1380.85 dhs,12/2024,837,American Express,Courant,195062
1578887856,3335.56 dhs,11/2030,256,Mastercard,Courant,621571
4291928391,9326.93 dhs,9/2025,568,Mastercard,Epargne,851793
3838362159,4617.06 dhs,11/2024,397,Visa,Courant,874454
2389275545,4808.96 dhs,1/2030,384,Visa,CourantEpargne,219361
4075330194,6756.13 dhs,4/2027,972,Visa,CourantEpargne,256783
9583575263,5480.75 dhs,6/2028,076,Visa,Epargne,576491
1338633473,440.54 dhs,4/2023,046,Visa,CourantEpargne,87097
7652505261,5394.2 dhs,11/2026,506,American Express,Epargne,501824
6322025405,9036.1 dhs,3/2027,603,Visa,Courant,940610
6936639941,9986.37 dhs,4/2029,629,American Express,Courant,544656
2510617897,1135.46 dhs,6/2026,744,Visa,Courant,557928
5413368327,7593.4 dhs,9/2025,751,Visa,CourantEpargne,842190
1284779093,5397.05 dhs,6/2030,947,Mastercard,CourantEpargne,930125
2782152253,3638.11 dhs,10/2028,446,American Express,CourantEpargne,499880
1878376637,1007.92 dhs,5/2030,407,Mastercard,CourantEpargne,697377
9494838432,7758.68 dhs,4/2025,817,Visa,CourantEpargne,324549
2275469551,8246.89 dhs,8/2024,104,Mastercard,Courant,805425
9656122658,5772.13 dhs,10/2024,516,American Express,CourantEpargne,198218
7559312042,8929.14 dhs,11/2029,791,Visa,Epargne,518584
8011570220,8853.77 dhs,8/2029,213,American Express,Epargne,210933
0318022098,8163.57 dhs,5/2030,639,American Express,CourantEpargne,624183
5034304145,9822.88 dhs,4/2023,089,American Express,CourantEpargne,295150
9725043729,8547.92 dhs,11/2027,274,Visa,Epargne,456049
4823782695,7964.64 dhs,11/2030,709,American Express,Courant,284184
5151056762,1618.79 dhs,11/2027,955,American Express,Courant,340805
1701055139,3648.49 dhs,1/2030,811,American Express,Epargne,214740
4810423900,7627.67 dhs,5/2023,663,Visa,CourantEpargne,922564
1413446324,8501.83 dhs,6/2030,942,American Express,Epargne,736903
8767352858,3877.91 dhs,1/2029,338,Visa,CourantEpargne,847096
5656841914,4100.68 dhs,4/2023,394,Mastercard,Epargne,195492
4744615139,780.24 dhs,11/2028,297,American Express,CourantEpargne,210
3739336271,6287.86 dhs,2/2029,209,American Express,CourantEpargne,192223
3538260474,8276.51 dhs,6/2023,532,Visa,Epargne,592589
7429628130,5353.42 dhs,4/2024,680,American Express,Epargne,752933
2080400004,6888.17 dhs,2/2028,830,Mastercard,Epargne,565992
3797741410,5015.2 dhs,1/2029,815,Visa,CourantEpargne,186131
0831028080,4037.56 dhs,8/2027,499,American Express,CourantEpargne,938499
5068008172,6540.57 dhs,10/2027,749,Mastercard,Epargne,635064
2358602951,197.66 dhs,6/2028,041,Visa,Courant,294195
0705438130,5933.84 dhs,9/2027,258,Visa,CourantEpargne,857068
1761009576,3399.94 dhs,3/2027,243,Mastercard,Courant,194720
8873501149,8554.57 dhs,8/2027,642,American Express,Epargne,274671
8825229178,3776.37 dhs,10/2029,829,Mastercard,CourantEpargne,585441
1813310692,2918.48 dhs,11/2030,457,American Express,Courant,895997
1572968101,1586.2 dhs,12/2028,284,American Express,CourantEpargne,201387
8073154078,2606.99 dhs,12/2027,271,Mastercard,Epargne,799318
0800838302,1064.87 dhs,6/2029,989,Mastercard,CourantEpargne,460151
8865213905,5056.06 dhs,2/2023,362,Mastercard,Epargne,782532
